algorithm,size,seed,rule,lookahead,found,steps_taken,total_cost,total_runtime_ms,replans,updates,total_nodes_expanded,total_replan_time_ms,w,N,k,m,spike_cost
UCS,80x80,7,Local Cost Spiking,0,1,158,522.0,128.34620848298073,16,15,68287,126.93400122225285,,10,5,5,50
A*,80x80,7,Local Cost Spiking,0,1,158,532.0,124.8057521879673,16,15,58463,123.50991927087307,,10,5,5,50
wA*,80x80,7,Local Cost Spiking,0,1,158,532.0,103.18108461797237,16,15,45691,102.06908918917179,2.0,10,5,5,50
GBFS,80x80,7,Local Cost Spiking,0,1,154,1480.0,1.8478333950042725,16,15,1280,1.6546715050935745,,10,5,5,50
D*Lite,80x80,7,Local Cost Spiking,0,1,154,586.0,100.42575187981129,16,15,6355,98.61600026488304,,10,5,5,50
UCS,80x80,8,Local Cost Spiking,0,1,168,634.0,144.08020861446857,17,16,76797,142.43345707654953,,10,5,5,50
A*,80x80,8,Local Cost Spiking,0,1,168,628.0,143.3384995907545,17,16,67493,141.88600331544876,,10,5,5,50
wA*,80x80,8,Local Cost Spiking,0,1,170,629.0,122.86337465047836,17,16,54446,121.55162543058395,2.0,10,5,5,50
GBFS,80x80,8,Local Cost Spiking,0,1,154,1435.0,1.8198322504758835,16,15,1280,1.6338303685188293,,10,5,5,50
D*Lite,80x80,8,Local Cost Spiking,0,1,168,632.0,100.62166675925255,17,16,6437,98.72271120548248,,10,5,5,50
UCS,80x80,9,Local Cost Spiking,0,1,156,584.0,128.66716645658016,16,15,69552,127.19320319592953,,10,5,5,50
A*,80x80,9,Local Cost Spiking,0,1,158,617.0,128.64837422966957,16,15,60533,127.32641026377678,,10,5,5,50
wA*,80x80,9,Local Cost Spiking,0,1,158,619.0,109.37454365193844,16,15,49252,108.20024833083153,2.0,10,5,5,50
GBFS,80x80,9,Local Cost Spiking,0,1,154,1460.0,1.8654167652130127,16,15,1280,1.676836982369423,,10,5,5,50
D*Lite,80x80,9,Local Cost Spiking,0,1,158,619.0,100.70175118744373,16,15,6410,98.9487823098898,,10,5,5,50
