algorithm,size,seed,rule,lookahead,found,steps_taken,total_cost,total_runtime_ms,replans,updates,total_nodes_expanded,total_replan_time_ms,w,N,k,m,spike_cost
A*,80x80,3,Local Cost Spiking,0,1,158,589.0,117.81095899641514,16,15,57632,116.5510006248951,,10,5,5,50
wA*,80x80,3,Local Cost Spiking,0,1,156,581.0,85.41766740381718,16,15,39514,84.42521095275879,2.0,10,5,5,50
GBFS,80x80,3,Local Cost Spiking,0,1,154,1480.0,1.7924997955560684,16,15,1280,1.6157478094100952,,10,5,5,50
D*Lite,80x80,3,Local Cost Spiking,0,1,158,597.0,100.08687525987625,16,15,6429,98.32259267568588,,10,5,5,50
UCS,80x80,4,Local Cost Spiking,0,1,162,637.0,125.73625147342682,17,16,70538,124.32883493602276,,10,5,5,50
A*,80x80,4,Local Cost Spiking,0,1,162,578.0,123.77924844622612,17,16,59914,122.43320420384407,,10,5,5,50
wA*,80x80,4,Local Cost Spiking,0,1,162,587.0,102.5447491556406,17,16,47671,101.41940787434578,2.0,10,5,5,50
GBFS,80x80,4,Local Cost Spiking,0,1,154,1209.0,1.759083941578865,16,15,1280,1.5812069177627563,,10,5,5,50
D*Lite,80x80,4,Local Cost Spiking,0,1,162,639.0,98.7614169716835,17,16,6430,96.92071378231049,,10,5,5,50
UCS,80x80,5,Local Cost Spiking,0,1,164,578.0,125.09604170918465,17,16,69272,123.61791729927063,,10,5,5,50
A*,80x80,5,Local Cost Spiking,0,1,158,566.0,125.71624852716923,16,15,60793,124.30358119308949,,10,5,5,50
wA*,80x80,5,Local Cost Spiking,0,1,158,576.0,107.21462592482567,16,15,50023,106.03625327348709,2.0,10,5,5,50
GBFS,80x80,5,Local Cost Spiking,0,1,154,1299.0,1.744542270898819,16,15,1280,1.568591222167015,,10,5,5,50
D*Lite,80x80,5,Local Cost Spiking,0,1,158,581.0,96.36496007442474,16,15,6303,94.56499293446541,,10,5,5,50
UCS,80x80,6,Local Cost Spiking,0,1,158,571.0,132.8937504440546,16,15,71164,131.30613043904305,,10,5,5,50
A*,80x80,6,Local Cost Spiking,0,1,162,548.0,120.38775160908699,17,16,56692,119.00966055691242,,10,5,5,50
wA*,80x80,6,Local Cost Spiking,0,1,158,584.0,104.7412920743227,16,15,49194,103.61292026937008,2.0,10,5,5,50
GBFS,80x80,6,Local Cost Spiking,0,1,154,1283.0,1.7051249742507935,16,15,1280,1.5337858349084854,,10,5,5,50
D*Lite,80x80,6,Local Cost Spiking,0,1,158,584.0,96.19416855275631,16,15,6347,94.49012391269207,,10,5,5,50
UCS,80x80,7,Local Cost Spiking,0,1,158,522.0,126.46299973130226,16,15,68287,124.93446096777916,,10,5,5,50
A*,80x80,7,Local Cost Spiking,0,1,158,532.0,124.2022905498743,16,15,58463,122.83291108906269,,10,5,5,50
wA*,80x80,7,Local Cost Spiking,0,1,158,532.0,101.96404159069061,16,15,45691,100.85649788379669,2.0,10,5,5,50
GBFS,80x80,7,Local Cost Spiking,0,1,154,1480.0,1.7999596893787384,16,15,1280,1.616956666111946,,10,5,5,50
